id,population,centroid.size_femur,centroid.size_tibia,centroid.size_pretarsus,centroid.size_claw
DBAY_140_ast,DBAY,9.097677073,8.86218135,5.199354751,3.75991704
DBAY_D100,DBAY,8.826566202,8.650613138,4.84438289,3.738516659
DBAY_D103,DBAY,8.83248794,9.02713513,5.38851494,3.713945488
DBAY_D109.1,DBAY,8.948626954,8.648793001,5.176325704,3.739202344
DBAY_D109.2,DBAY,8.650167563,8.971714414,5.457455959,3.827709617
DBAY_D110,DBAY,9.21537608,8.997919743,5.502509268,3.948248564
DBAY_D111,DBAY,9.414071505,8.928913055,5.442090986,4.102947724
DBAY_D114,DBAY,NA,8.361694537,5.01908162,3.395416793
DBAY_D117,DBAY,8.155815087,8.27790657,4.895937511,3.292671771
DBAY_D120,DBAY,9.165816866,9.39749414,5.473652422,4.152381989
DBAY_D123,DBAY,9.092150402,8.751602803,5.55463991,3.655277473
DBAY_D124,DBAY,8.488737377,8.151490375,5.132909129,3.697874155
DBAY_D125,DBAY,8.799598299,8.922110519,5.290495338,NA
DBAY_D129,DBAY,8.675889027,8.785669439,5.264947509,3.707793488
DBAY_D138,DBAY,8.53143054,8.678718273,5.219202177,NA
DBAY_D143,DBAY,8.889030448,8.054250758,5.200273339,3.362250251
DBAY_D146,DBAY,9.269221309,8.838551962,5.608409203,3.95988782
DBAY_D147,DBAY,8.692761423,9.106399891,5.291989865,3.965131081
DBAY_D151,DBAY,8.814221899,8.774612761,5.171397936,3.73866167
DBAY_D154,DBAY,8.783242451,8.762090104,5.356247193,3.755057754
DBAY_D155,DBAY,NA,8.72418695,5.348853184,3.781210796
DBAY_D17,DBAY,8.985808093,8.969130407,5.516316041,4.094918059
DBAY_D2,DBAY,8.510720943,8.685541727,5.405050689,3.905483685
DBAY_D306,DBAY,8.066367195,8.147477559,4.972695011,3.37047254
DBAY_D310,DBAY,8.307803959,8.542441109,4.760459728,NA
DBAY_D311,DBAY,8.823957576,8.878190203,5.214771101,3.696265914
DBAY_D315,DBAY,8.923824838,8.739613078,5.408999802,3.71929768
DBAY_D316,DBAY,9.362207491,9.355477286,5.563657096,3.993679312
